   Element      Z   Zeff              c1          decay1              c2          decay2              c3          decay3 
         H      1      1    0.0560384663    6.4891380598   -3.8350294175    0.6602381433    4.7789825290    0.6602379739 
        He      2      2    0.1154965782   20.7960680562   -7.4980066326    1.8649595111    9.3822136528    1.8649595136 
        Li      3      1    1.0742154658    0.0995837849    1.6710452453    1.0335545866   -1.7452607228    1.0167791686 
        Be      4      2    2.1191828567    0.2110703089    1.3640078199    2.5438539255   -1.4831909869    2.4642399930 
         B      5      3    2.7286101934    0.3034723468    1.5220254292    1.3945941855   -1.2506361464    1.7758340232 
         C      6      4    1.2731715309    0.2413599331    2.8524137430    0.7090489470   -0.1255852914    5.9730507306 
         N      7      5    1.5290249588    0.3210471862    3.5729989560    1.0112933174   -0.1020239143   11.2757988275 
         O      8      6    2.2322546142    0.4558507829    3.8680898721    1.4561260735   -0.1003449210   17.5892339938 
         F      9      7    2.9874899707    0.6252726079    4.1153977001    2.0168889406   -0.1028901107   25.3396865763 
        Ne     10      8    3.7964272240    0.8316425609    4.3137870510    2.7068322521   -0.1102230912   33.9799882925 
        Na     11      1    1.1093339714    0.0868213359    1.6534008747    0.7252989069   -1.7627348597    0.7077677322 
        Mg     12      2    2.2425040312    0.1477103339    1.3011987461    1.1940647426   -1.5437028567    1.1179254449 
        Al     13      3    3.3169451948    0.1915665690    1.1998574162    1.7107926191   -1.5168029427    1.5621835716 
        Si     14      4   31.8404690060    2.0594585811  -32.2910949533    2.0484478936    4.4506251229    0.2541638361 
         P     15      5   54.5816193530    2.5209402768  -55.1885187244    2.5104963357    5.6068975805    0.3300374846 
         S     16      6   68.2022557138    3.1243694200  -68.9269226526    3.1120829865    6.7246627841    0.4104813286 
        Cl     17      7   68.1398271228    3.8169326678  -68.9891563371    3.7993365539    7.8493211258    0.5026179890
        Ar     18      8   68.0721240719    4.5129686287  -69.0573204879    4.4891013881    8.9851817479    0.6047157393 
