            atom_x             atom_y             atom_z           atom_Num 
      0.0000000000      -0.0185816770       0.0000000000       8.0000000000 
     -1.5109702072      -1.0978647380       0.0000000000       1.0000000000 
      1.5109702072      -1.0978647380       0.0000000000       1.0000000000 

          center_x           center_y           center_z                 amplitude                     decay
      0.0000000000      -0.0185816770       0.0000000000          -1094.4786350037              0.9525225739 
      0.0000000000      -0.0185816770       0.0000000000           -297.1185285990             21.4075497552 
      0.0000000000      -0.0185816770       0.0000000000              0.0948988674            640.3019777413 
      0.0000000000      -0.0185816770       0.0000000000           -229.9946788338              0.8959478176 
      0.0000000000      -0.0185816770       0.0000000000            784.0373669057              0.9767679175 
      0.0000000000      -0.0185816770       0.0000000000              0.0627325264           2445.3090719536 
      0.0000000000      -0.0185816770       0.0000000000            298.1285344371             21.4075484806 
      0.0000000000      -0.0185816770       0.0000000000            546.8594941026              0.8959478363 
      0.0000000000      -0.0185816770       0.0000000000              0.9181884262             78.1826073252 
     -1.5109702072      -1.0978647380       0.0000000000           -767.8663373824              0.3854035215 
     -1.5109702072      -1.0978647380       0.0000000000           -208.4511884982              2.0455881787 
     -1.5109702072      -1.0978647380       0.0000000000              0.0010370147            640.9871373838 
     -1.5109702072      -1.0978647380       0.0000000000           -162.1360751146              0.3902526555 
     -1.5109702072      -1.0978647380       0.0000000000            548.3736648953              0.3901373281 
     -1.5109702072      -1.0978647380       0.0000000000              0.0029813836           2445.2659231346 
     -1.5109702072      -1.0978647380       0.0000000000            208.6249934292              2.0455882918 
     -1.5109702072      -1.0978647380       0.0000000000            382.1888492752              0.3807888010 
     -1.5109702072      -1.0978647380       0.0000000000              0.0073675013             60.9587103968 
      1.5109702072      -1.0978647380       0.0000000000           -767.8663373824              0.3854035215 
      1.5109702072      -1.0978647380       0.0000000000           -208.4511884982              2.0455881787 
      1.5109702072      -1.0978647380       0.0000000000              0.0010370147            640.9871373838 
      1.5109702072      -1.0978647380       0.0000000000           -162.1360751146              0.3902526555 
      1.5109702072      -1.0978647380       0.0000000000            548.3736648953              0.3901373281 
      1.5109702072      -1.0978647380       0.0000000000              0.0029813836           2445.2659231346 
      1.5109702072      -1.0978647380       0.0000000000            208.6249934292              2.0455882918 
      1.5109702072      -1.0978647380       0.0000000000            382.1888492752              0.3807888010 
      1.5109702072      -1.0978647380       0.0000000000              0.0073675013             60.9587103968 
