            atom_x            atom_y            atom_z       effective_Z
     -0.0000000000     -0.0185816770      0.0000000000      6.0000000000
     -1.5109702072     -1.0978647380      0.0000000000      1.0000000000
      1.5109702072     -1.0978647380      0.0000000000      1.0000000000

          center_x          center_y          center_z         amplitude             decay
     -0.0000000000     -0.0185816770      0.0000000000      4.1964974626      1.4561260895
     -0.0000000000     -0.0185816770      0.0000000000     -0.1088643937     17.5892334291
     -0.0000000000     -0.0185816770      0.0000000000      2.4217774579      0.4558509111
     -1.5109702072     -1.0978647380      0.0000000000      0.1347482518      2.7178464119
     -1.5109702072     -1.0978647380      0.0000000000      0.0032988960     24.5862060794
     -1.5109702072     -1.0978647380      0.0000000000      0.6072456651      0.4891088476
      1.5109702072     -1.0978647380      0.0000000000      0.1347482518      2.7178464119
      1.5109702072     -1.0978647380      0.0000000000      0.0032988960     24.5862060794
      1.5109702072     -1.0978647380      0.0000000000      0.6072456651      0.4891088476

