            atom_x             atom_y             atom_z           atom_Num 
      1.2052748812       0.0000000000       0.0000000000       8.0000000000 
     -1.2052748812       0.0000000000       0.0000000000       8.0000000000 

          center_x           center_y           center_z                 amplitude                     decay
      1.2052748812       0.0000000000       0.0000000000          -1093.2681941831              0.9525225739 
      1.2052748812       0.0000000000       0.0000000000           -296.7899297721             21.4075497552 
      1.2052748812       0.0000000000       0.0000000000              0.0947939138            640.3019777413 
      1.2052748812       0.0000000000       0.0000000000           -229.7403157619              0.8959478176 
      1.2052748812       0.0000000000       0.0000000000            783.1702592222              0.9767679175 
      1.2052748812       0.0000000000       0.0000000000              0.0626631473           2445.3090719536 
      1.2052748812       0.0000000000       0.0000000000            297.7988185921             21.4075484806 
      1.2052748812       0.0000000000       0.0000000000            546.2546937587              0.8959478363 
      1.2052748812       0.0000000000       0.0000000000              0.9171729539             78.1826073252 
     -1.2052748812       0.0000000000       0.0000000000          -1093.2681941831              0.9525225739 
     -1.2052748812       0.0000000000       0.0000000000           -296.7899297721             21.4075497552 
     -1.2052748812       0.0000000000       0.0000000000              0.0947939138            640.3019777413 
     -1.2052748812       0.0000000000       0.0000000000           -229.7403157619              0.8959478176 
     -1.2052748812       0.0000000000       0.0000000000            783.1702592222              0.9767679175 
     -1.2052748812       0.0000000000       0.0000000000              0.0626631473           2445.3090719536 
     -1.2052748812       0.0000000000       0.0000000000            297.7988185921             21.4075484806 
     -1.2052748812       0.0000000000       0.0000000000            546.2546937587              0.8959478363 
     -1.2052748812       0.0000000000       0.0000000000              0.9171729539             78.1826073252 
