            atom_x             atom_y             atom_z           atom_Num 
      1.2052748812       0.0000000000       0.0000000000       8.0000000000 
     -1.2052748812       0.0000000000       0.0000000000       8.0000000000 

          center_x           center_y           center_z                 amplitude                     decay
      1.2052748812       0.0000000000       0.0000000000          -1061.1132472953              0.9525225739 
      1.2052748812       0.0000000000       0.0000000000           -288.0608141905             21.4075497552 
      1.2052748812       0.0000000000       0.0000000000              0.0920058575            640.3019777413 
      1.2052748812       0.0000000000       0.0000000000           -222.9832476512              0.8959478176 
      1.2052748812       0.0000000000       0.0000000000            760.1358398333              0.9767679175 
      1.2052748812       0.0000000000       0.0000000000              0.0608201135           2445.3090719536 
      1.2052748812       0.0000000000       0.0000000000            289.0400298100             21.4075484806 
      1.2052748812       0.0000000000       0.0000000000            530.1883792364              0.8959478363 
      1.2052748812       0.0000000000       0.0000000000              0.8901972788             78.1826073252 
     -1.2052748812       0.0000000000       0.0000000000          -1061.1132472953              0.9525225739 
     -1.2052748812       0.0000000000       0.0000000000           -288.0608141905             21.4075497552 
     -1.2052748812       0.0000000000       0.0000000000              0.0920058575            640.3019777413 
     -1.2052748812       0.0000000000       0.0000000000           -222.9832476512              0.8959478176 
     -1.2052748812       0.0000000000       0.0000000000            760.1358398333              0.9767679175 
     -1.2052748812       0.0000000000       0.0000000000              0.0608201135           2445.3090719536 
     -1.2052748812       0.0000000000       0.0000000000            289.0400298100             21.4075484806 
     -1.2052748812       0.0000000000       0.0000000000            530.1883792364              0.8959478363 
     -1.2052748812       0.0000000000       0.0000000000              0.8901972788             78.1826073252 
